codePoint,radicalId,numberOfStrokesInRadical,numberOfStrokes,onyomi,kunyomi,jisLevel,regular,forName
38829,177,9,18,"HEN,BEN","MUCHI,MUCHIUTSU",1,false,true
38835,177,10,18,TOU,,2,false,false
38836,177,10,19,"FUKU,HI,BI","UTSUBO,FUIGO",2,false,false
38851,177,13,21,"DATSU,TATSU",MUCHIUTSU,2,false,false
38854,177,15,24,SEN,TORU,2,false,false
38856,177,15,23,"BETSU,BATSU","TABI,KUTSUSHITA",2,false,false
38859,178,0,9,I,"NAMESHIGAWA,SOMUKU",2,false,false
38867,178,8,17,KAN,IGETA,1,true,true
38876,178,10,19,TOU,YUBUKURO,2,false,false
38893,179,0,9,"KYUU,KU",NIRA,2,false,false
38894,179,4,12,"KYOU,KU",NIRA,1,false,false
38898,179,10,19,"SEI,SAI",NAMASU,2,false,false
38899,180,0,9,"ON,IN","OTO,NE",1,true,true
38901,180,4,13,"IN,UN",HIBIKI,2,false,false
38902,180,5,14,"SHOU,JOU",TSUGU,2,false,false
38907,180,10,19,"IN,UN",HIBIKI,1,true,true
38911,180,11,20,KYOU,"HIBIKU,HIBIKI",1,true,true
38913,181,0,9,"KETSU,YOU,KECHI","KASHIRA,PEEJI",1,false,true
38914,181,2,11,"CHOU,TEI","ITADAKI,ITADAKU",1,true,true
38915,181,2,11,"KEI,KYOU,KI","KORO,SHIBARAKU",1,true,true
38917,181,3,12,"KOU,GOU",UNAJI,1,true,true
38918,181,3,12,"JUN,SHUN","SUNAO,SHITAGAU",1,true,true
38920,181,3,12,"SHU,SU","HIGE,MOTOMERU,MOCHIIRU",1,true,true
38924,181,4,13,"SHOU,JU,YOU","HOMERU,TATAERU,KATACHI",2,false,true
38927,181,4,13,KOU,NODO,2,false,false
38928,181,4,13,YO,"AZUKERU,ARAKAJIME,AZUKARU",1,true,true
38929,181,4,13,"GAN,GEN",KATAKUNA,1,true,true
38930,181,4,13,"HAN,FUN","WAKERU,SHIKU",1,true,true
38931,181,4,13,"TON,TOTSU","NUKAZUKU,TSUMAZUKU,TOMINI",1,true,true
38935,181,5,14,HA,"KATAYORU,SUKOBURU",1,false,true
38936,181,5,14,"RYOU,REI","UNAJI,ERI,OSAMERU",1,true,true
38938,181,5,14,KEI,KUBI,1,false,false
38945,181,6,15,"KITSU,KATSU,KETSU","OOKII,KASUMETORU",2,false,false
38948,181,7,16,I,OTOGAI,2,false,false
38956,181,6,15,KYOU,HOO,1,false,false
38957,181,7,16,"TOU,ZU,TO","ATAMA,KASHIRA,KOUBE",1,true,true
38964,181,7,16,EI,HOSAKI,1,false,false
38967,181,7,16,"KAN,GAN","AGO,UNAZUKU",2,false,false
38968,181,7,16,KEI,KUBI,2,false,false
38971,181,7,16,"HIN,BIN",SHIKIRINI,1,true,true
38972,181,7,16,RAI,"TANOMU,TAYORU,TAYORI",1,true,true
38973,181,7,16,"TAI,TA","KUZURERU,KUZUSU,OTOGAI",2,false,false
38982,181,8,17,KA,TSUBU,2,false,false
38987,181,9,18,SAI,"AGO,ERA",2,false,false
38988,181,9,18,DAI,HITAI,1,true,true
38989,181,9,18,"GAKU,GYAKU","HITAI,TAKA",1,true,true
38990,181,9,18,GAKU,AGO,1,true,true
38991,181,9,18,"GAN,GEN",KAO,2,false,false
38996,181,9,18,"GAN,GEN",KAO,1,true,true
38997,181,9,18,"KEN,GEN","AKIRAKA,ARAWARERU",1,true,true
39000,181,10,19,"GAN,GEN","NEGAU,NEGAI",1,true,true
39003,181,10,19,TEN,"ITADAKI,TAORERU",1,false,false
39006,181,10,19,"RUI,RAI",TAGUI,1,true,true
39015,181,12,21,KO,KAERIMIRU,1,true,true
39019,181,13,22,SEN,FURUERU,2,false,false
39023,181,14,23,"KEN,GEN",AKIRAKA,2,false,true
39024,181,15,24,"HIN,BIN","SHIKAMERU,HISOMERU",2,false,false
39025,181,16,25,RO,KASHIRA,2,false,false
39027,181,18,27,"SHOU,JOU",,2,false,false
39028,181,18,26,"KAN,KEN",SHIROI,2,false,false
39080,182,0,9,"FUU,FU",KAZE,1,true,true
39082,182,3,12,,OROSHI,2,false,false
39087,182,5,14,"SATSU,SOU","HISHIGU,HAYATE,MIDARERU",2,false,true
39089,182,5,14,TAI,,2,false,false
39094,182,8,17,"KU,GU","TSUMUJIKASE,HAYATE",2,false,false
